"","Specimen.Tag","Sex","State","County","Subspecies","Latitude","Longitude","SVL1","SVL2","SVL_Ave","Headwidth1","Headwidth2","Headwidth_Ave","Headlength1","Headlength2","Headlength_Ave","Right_Tibulafibula1","Right_Tibulafibula2","Tibulafibula_Ave","Right_Femur1","Right_Femur2","Femur_Ave","Right_Tarsus1","Right_Tarsus2","Tarsus_Ave","Right_Radioulna1","Right_Radioulna2","Radioulna_Ave","Right_Nostril_Lip1","Right_Nostril_Lip2","Nostril_Lip_Ave","Internarial1","Internarial2","Internarial_Ave","EAD1","EAD2","EAD_Ave","Interorbital1","Interorbital2","Interoribital_Ave","EPD1","EPD2","EPD_Ave","Right_Tympanum1","Right_Tympanum2","Tympanum_Ave","Spots","Notes","X","X.1","X.2","annual_temp","temp_seasonality","annual_rainfall","rainfall_seasonality","max_temp","min_temp","days_above_5","Site","county_site"
"67","OMNH 26267","M","Oklahoma","Sequoyah","Northern",35.51459122,-94.76931763,78,78.3,78.15,29.3,28.1,28.7,21.3,21.9,21.6,37.1,37.1,37.1,34.3,34.4,34.35,20.5,21,20.75,15.6,15.5,15.55,6.4,6.1,6.25,6.9,6.5,6.7,12.3,12,12.15,3.8,4,3.9,28.5,27.8,28.15,6.9,6.5,6.7,31,"",NA,NA,NA,15.5623331069946,864.094665527344,1162,148,33.439998626709,-3.07999992370605,307,"Site_44","Site_42"
"68","UTA A40545","M","Texas","Trinity","Southern",31.077052,-95.126086,66.4,66.6,66.5,23.5,23.9,23.7,19.4,18,18.7,33.5,33.8,33.65,30.4,29.5,29.95,18.4,18.1,18.25,13,13.1,13.05,4.8,4.5,4.65,5.2,5.3,5.25,9.8,9.8,9.8,2.9,2.9,2.9,15.2,15.2,15.2,4.9,5.1,5,31,"",NA,NA,NA,19.0429992675781,709.789245605469,1135,122,34.5960006713867,2.75200009346008,365,"Site_8","Site_43"
"69","UTA A40542","M","Texas","Trinity","Southern",31.05823,-95.261393,73.9,73.8,73.85,26.2,25.9,26.05,21.5,22.3,21.9,35.3,35.4,35.35,29.9,31.3,30.6,20.6,20.5,20.55,15.6,15.7,15.65,5,4.9,4.95,5.3,5.1,5.2,9.9,10.4,10.15,3.2,3.4,3.3,16.1,15.9,16,6.3,6.5,6.4,31,"",NA,NA,NA,18.9933338165283,719.541442871094,1110,120,34.5879974365234,2.6159999370575,365,"Site_7","Site_43"
"70","UTA A40575","F","Texas","Trinity","Southern",30.955587,-95.115801,80.9,81,80.95,27.6,27.5,27.55,22.2,22.9,22.55,37,36.9,36.95,35.1,35.1,35.1,21.2,21,21.1,14.4,14.3,14.35,6,5.9,5.95,5.7,5.9,5.8,11.5,11.6,11.55,3.4,3.3,3.35,17.1,16.9,17,5.8,6.1,5.95,26,"",NA,NA,NA,18.9803333282471,715.943908691406,1157,127,34.5400009155273,2.53200006484985,365,"Site_5","Site_43"
"71","UTA A40571","M","Texas","Trinity","Southern",31.08225,-94.947253,76.8,76.5,76.65,26,25.9,25.95,21.2,21.5,21.35,35.9,35.9,35.9,31.6,31.4,31.5,20.1,20,20.05,15.8,16,15.9,5.6,5.3,5.45,5.9,6,5.95,10.5,10.6,10.55,3.8,3.5,3.65,17.2,16.8,17,6.2,5.9,6.05,35,"",NA,NA,NA,18.9036674499512,709.664672851562,1153,126,34.3600006103516,2.66400003433228,365,"Site_9","Site_43"
"72","UTA A40572","M","Texas","Trinity","Southern",31.055045,-95.178991,75.7,74.1,74.9,25.2,25.2,25.2,20.8,20.5,20.65,35.5,35.5,35.5,33.9,33.5,33.7,19.9,19.8,19.85,14.8,14.6,14.7,5.9,5.8,5.85,5.2,5.5,5.35,10,10.5,10.25,3.6,3.8,3.7,14.9,14.8,14.85,5,5.2,5.1,28,"",NA,NA,NA,19.0431671142578,713.503173828125,1126,121,34.6399993896484,2.66400003433228,365,"Site_6","Site_43"
"73","OMNH 50043","M","Oklahoma","Tulsa","Northern",36.38019554,-95.91344397,89.3,90.1,89.7,31.9,31.5,31.7,26.4,26.3,26.35,43.5,42.6,43.05,40.3,40.3,40.3,21.9,21.6,21.75,15.8,15.7,15.75,6.8,6.8,6.8,6.9,7.1,7,9.8,9.8,9.8,4.5,5,4.75,21.1,20,20.55,7.5,7.9,7.7,31,"",NA,NA,NA,15.2836666107178,930.640747070312,1024,130,33.992000579834,-4.55999994277954,300,"Site_54","Site_44"
"74","OMNH 50042","F","Oklahoma","Tulsa","Northern",36.3947128,-95.88869051,89.3,88.8,89.05,31.2,31.3,31.25,24.3,24.3,24.3,43.4,43.5,43.45,42.8,41.4,42.1,21.2,21.4,21.3,16.2,15.9,16.05,7.4,7,7.2,7.1,7.3,7.2,13.5,13.6,13.55,3.9,4.2,4.05,20.8,20.5,20.65,8.3,8.2,8.25,25,"",NA,NA,NA,15.2836666107178,930.640747070312,1024,130,33.992000579834,-4.55999994277954,300,"Site_55","Site_44"
"75","OMNH 30917","M","Oklahoma","Tulsa","Northern",36.21029663,-95.82806396,92.3,92.5,92.4,30.1,29.9,30,21.4,22.1,21.75,43.1,43.2,43.15,39,39.3,39.15,21.5,22.3,21.9,17.1,16.9,17,7,7,7,6.9,7.2,7.05,12.5,12.3,12.4,5.9,5.7,5.8,17.5,17.6,17.55,6.8,6.7,6.75,32,"",NA,NA,NA,15.3998336791992,923.575866699219,1036,136,33.9440002441406,-4.21600008010864,303,"Site_53","Site_44"
"76","OMNH 30728","M","Oklahoma","Tulsa","Northern",36.20519638,-95.83446503,86.4,86.8,86.6,30.3,30.4,30.35,25.2,24.4,24.8,44.8,44.4,44.6,41.5,41,41.25,24.5,24,24.25,16.8,16.8,16.8,6.9,6.7,6.8,7.9,7.9,7.9,12.7,12.5,12.6,4.6,4.5,4.55,21,20.8,20.9,7.5,7.3,7.4,30,"",NA,NA,NA,15.5738334655762,931.49658203125,1036,140,34.1599998474121,-4.16400003433228,305,"Site_52","Site_44"
"77","OMNH 43551","M","Oklahoma","Tulsa","Northern",36.13339615,-95.92297363,92.8,92.8,92.8,30.9,30.7,30.8,24.6,24.5,24.55,43.3,43.1,43.2,39.4,38.7,39.05,23,22.9,22.95,16.3,16.2,16.25,6,6.2,6.1,7.5,7.4,7.45,13.2,13.1,13.15,4.1,4.4,4.25,20.8,20.7,20.75,6.6,6.7,6.65,33,"",NA,NA,NA,15.904167175293,930.95703125,1030,140,34.4120025634766,-3.86800003051758,304,"Site_50","Site_44"
"78","OMNH 50034","M","Oklahoma","Wagoner","Northern",35.929,-95.33955,84.06,83.45,83.755,30.57,30.45,30.51,22.59,22.71,22.65,42.97,43.03,43,41.21,41.12,41.165,23.5,23.6,23.55,19.43,19.76,19.595,6.36,6.73,6.545,7.21,7.19,7.2,12.44,12.67,12.555,4.76,4.6,4.68,19.99,19.55,19.77,6.36,6.25,6.305,26,"",NA,NA,NA,15.5465002059937,900.435180664062,1102,134,33.7040023803711,-3.64400005340576,311,"Site_49","Site_45"
"79","UTA A40622","F","Texas","Walker","Southern",30.705371,-95.575065,91.4,91.2,91.3,30.3,30.3,30.3,23.4,23.5,23.45,38.2,38.1,38.15,31.9,31.5,31.7,22.5,21.9,22.2,16.4,16.9,16.65,6.4,6.5,6.45,6.5,6.6,6.55,11.5,12.1,11.8,4,4.2,4.1,17.9,18.2,18.05,6.5,6.9,6.7,23,"",NA,NA,NA,19.3956661224365,702.468139648438,1143,132,34.4039993286133,3.59599995613098,365,"Site_4","Site_46"
"80","UTA A40621","M","Texas","Walker","Southern",30.705371,-95.575065,82.8,82.5,82.65,27.9,27.6,27.75,22.5,22.6,22.55,37,36.9,36.95,32.9,32.6,32.75,20.6,20.3,20.45,15.5,15.4,15.45,6.1,5.5,5.8,5.6,5.5,5.55,11,11.2,11.1,3,3.2,3.1,18.4,18.5,18.45,6.4,6.6,6.5,20,"",NA,NA,NA,19.3956661224365,702.468139648438,1143,132,34.4039993286133,3.59599995613098,365,"Site_4","Site_46"
"81","UTA A40623","F","Texas","Walker","Southern",30.705371,-95.575065,75.2,74.9,75.05,25.6,25.5,25.55,20.2,20.5,20.35,37,37.1,37.05,35.6,35.5,35.55,20.5,20.1,20.3,14.2,14.5,14.35,5.1,5.2,5.15,5.4,5.5,5.45,10.3,10.5,10.4,3.8,4,3.9,16.3,16.1,16.2,5.9,5.8,5.85,35,"",NA,NA,NA,19.3956661224365,702.468139648438,1143,132,34.4039993286133,3.59599995613098,365,"Site_4","Site_46"
"82","UTA A40432","F","Texas","Walker","Southern",30.705371,-95.575065,77.1,76.9,77,27.5,27.2,27.35,23.1,23.2,23.15,37.1,37,37.05,33.8,34.1,33.95,20.1,19.9,20,14,13.9,13.95,6.1,5.9,6,5.5,5.7,5.6,11.1,11.2,11.15,3.9,4,3.95,18,18.1,18.05,6.9,7.2,7.05,27,"",NA,NA,NA,19.3956661224365,702.468139648438,1143,132,34.4039993286133,3.59599995613098,365,"Site_4","Site_46"
"83","UTA A40428","M","Texas","Walker","Southern",30.705371,-95.575065,73.2,72.8,73,25.2,24.9,25.05,19.6,20,19.8,35.2,34.9,35.05,34.3,34.5,34.4,19.5,19.4,19.45,14.5,14.5,14.5,5,4.9,4.95,5.5,5.1,5.3,10.2,10.5,10.35,3.2,3.5,3.35,15.5,15.4,15.45,5.9,5.8,5.85,23,"",NA,NA,NA,19.3956661224365,702.468139648438,1143,132,34.4039993286133,3.59599995613098,365,"Site_4","Site_46"
"84","OMNH 39878","M","Oklahoma","Washington","Northern",36.53208,-95.95767,95.8,96.1,95.95,32.5,33.2,32.85,24.2,24.4,24.3,47.9,47.3,47.6,45.9,45.9,45.9,25,25,25,19.3,19.1,19.2,7.5,6.8,7.15,8,7.8,7.9,13.9,13.9,13.9,4.2,4.5,4.35,21.2,21.5,21.35,7.4,7,7.2,35,"",NA,NA,NA,15.2081661224365,930.322937011719,1014,125,33.9679985046387,-4.68400001525879,296,"Site_58","Site_47"
"85","OSUS A4376","M","Oklahoma ","McCurtain","Southern",33.895554,-94.830466,77.2,77.3,77.25,26,25.8,25.9,18.5,18.4,18.45,34.8,34.5,34.65,30.1,30,30.05,20.6,20.8,20.7,15.8,15.8,15.8,5.8,5.2,5.5,5.1,5.3,5.2,10,10.2,10.1,2.9,3.1,3,16.7,16.9,16.8,6.6,6.4,6.5,25,"",NA,NA,NA,16.7336673736572,820.176025390625,1239,151,34.0879974365234,-1.55200004577637,365,"Site_25","Site_28"
"86","OSUS A5479","F","Oklahoma","Le Flore","Southern",34.932599,-94.709908,88.5,88.4,88.45,30,30,30,22.4,22.6,22.5,38.7,38.8,38.75,35.8,35.9,35.85,22.1,22,22.05,17.2,17,17.1,5.8,5.8,5.8,6,6.1,6.05,13,13,13,2.9,2.6,2.75,19.1,19.4,19.25,7.6,7.7,7.65,33,"",NA,NA,NA,16.1494998931885,849.419799804688,1199,157,34.1679992675781,-2.71200013160706,326,"Site_39","Site_25"
"87","OSUS A2291","M","Oklahoma","McCurtain","Southern",33.895665,-94.826328,74.7,74.5,74.6,25.6,25.2,25.4,18.5,19,18.75,31.6,31.7,31.65,27.3,27.6,27.45,17.6,17.4,17.5,14,13.9,13.95,5.3,5.3,5.3,5,4.9,4.95,10,9.6,9.8,4.2,3.7,3.95,15.4,15,15.2,5.2,5.1,5.15,34,"",NA,NA,NA,16.7336673736572,820.176025390625,1239,151,34.0879974365234,-1.55200004577637,365,"Site_26","Site_28"
"88","OSUS A5480","F","Oklahoma","Le Flore","Southern",34.932599,-94.709908,80.6,80.6,80.6,28.1,28.4,28.25,21,21.2,21.1,37.6,37.5,37.55,32.3,32.2,32.25,21.3,21.2,21.25,16,15.8,15.9,5.8,5.6,5.7,5.8,5.8,5.8,10.4,10.2,10.3,2.9,3.1,3,18.1,17.7,17.9,6.8,6.6,6.7,24,"",NA,NA,NA,16.1494998931885,849.419799804688,1199,157,34.1679992675781,-2.71200013160706,326,"Site_39","Site_25"
"89","OSUS A2290","M","Oklahoma","McCurtain","Southern",33.895665,-94.826328,73.7,73.8,73.75,24.1,24,24.05,20.6,20.2,20.4,33.2,33.4,33.3,31.5,31.6,31.55,18.5,18.2,18.35,14.5,14.3,14.4,4.5,4.3,4.4,5.2,4.9,5.05,10,9.5,9.75,2.4,2.9,2.65,15.4,15.3,15.35,5.8,5.7,5.75,30,"",NA,NA,NA,16.7336673736572,820.176025390625,1239,151,34.0879974365234,-1.55200004577637,365,"Site_26","Site_28"
"90","OSUS A5389","M","Texas","Red River","Southern",33.566728,-95.007963,74.8,74.8,74.8,25.3,25.1,25.2,20.2,20.4,20.3,34.6,34.5,34.55,33.6,33.6,33.6,19.7,19.8,19.75,16,15.8,15.9,5.5,5.5,5.5,6.1,5.9,6,10.7,10.3,10.5,3.1,3.2,3.15,16.5,16.7,16.6,5.7,5.5,5.6,24,"",NA,NA,NA,17.0746669769287,813.827575683594,1188,134,34.0799980163574,-0.976000010967255,365,"Site_22","Site_38"
"91","OSUS A2297","F","Oklahoma ","Osage","Northern",36.852203,-96.567352,88.6,89.5,89.05,35.3,35.1,35.2,25.5,26.1,25.8,37.5,37.5,37.5,35.2,35.3,35.25,22.2,22,22.1,17.4,17.5,17.45,5.6,5.5,5.55,6.5,6.3,6.4,13,13.3,13.15,3.9,4,3.95,20,20.4,20.2,5.6,5.3,5.45,36,"looks like a gopher frog ",NA,NA,NA,14.2873334884644,949.481994628906,929,129,33.3520011901855,-5.73600006103516,284,"Site_64","Site_34"
"92","OSUS A5390","M","Oklahoma","Cherokee","Northern",35.797169,-95.196355,95.5,95.3,95.4,30.2,30.4,30.3,22.2,22.5,22.35,44.1,43.9,44,37.6,37.2,37.4,23.9,23.8,23.85,20.5,20.6,20.55,6.1,6,6.05,6.9,7,6.95,12.6,13,12.8,3.1,2.9,3,19.8,20,19.9,6.9,7,6.95,27,"",NA,NA,NA,15.623833656311,879.410827636719,1135,138,33.6040000915527,-3.2960000038147,315,"Site_48","Site_5"
"93","OSUS 2296","F","Oklahoma","Osage","Northern",36.852203,-96.567352,118.5,118.2,118.35,41.2,41.4,41.3,26.5,26.7,26.6,53.1,53.1,53.1,50.2,50.1,50.15,30.9,30.5,30.7,24.2,23.7,23.95,9,8.7,8.85,8.5,8.6,8.55,16.1,16.5,16.3,4.5,4.6,4.55,24.2,24.2,24.2,7.8,8,7.9,44,"",NA,NA,NA,14.2873334884644,949.481994628906,929,129,33.3520011901855,-5.73600006103516,284,"Site_64","Site_34"
"94","OSUS A5043","M","Okahoma","Cherokee","Northern",35.778082,-95.269585,91.4,90.1,90.75,30.5,30.4,30.45,24.2,24.5,24.35,43.8,43.6,43.7,40.8,39.8,40.3,24.5,24.5,24.5,17.3,17.5,17.4,6.5,6.4,6.45,7.5,7.6,7.55,13,13,13,2.9,3.2,3.05,19.1,19.4,19.25,6.8,6.5,6.65,28,"",NA,NA,NA,15.8451662063599,895.399658203125,1123,138,34.0919990539551,-3.28399991989136,317,"Site_47","Site_5"
"95","OSUS A4378","M","Oklahoma","Muskogee","Intergrade",35.493179,-95.327886,94.5,94.7,94.6,30.9,30.8,30.85,24.7,24.7,24.7,46.5,46.2,46.35,42.6,43.2,42.9,26.5,26.5,26.5,20,19.6,19.8,6.8,6.5,6.65,7.4,6.9,7.15,14.9,14.5,14.7,3.9,3.5,3.7,20.5,20.3,20.4,7.4,7.1,7.25,27,"",NA,NA,NA,15.860333442688,882.515258789062,1122,140,33.9120025634766,-3.18400001525879,314,"Site_42","Site_30"
"96","OSUS A224","M","Oklahoma ","Sequoyah","Northern",35.710926,-94.919952,83.5,82.9,83.2,29.2,29.2,29.2,23.4,23.6,23.5,40.2,40.3,40.25,36.8,36.8,36.8,22.6,22.7,22.65,18.1,18.1,18.1,6.1,6.3,6.2,6.5,6.6,6.55,11.7,11.5,11.6,3.8,3.8,3.8,19.6,19.3,19.45,7,6.8,6.9,24,"",NA,NA,NA,15.5034999847412,861.37060546875,1147,142,33.3759994506836,-3.08800005912781,310,"Site_46","Site_42"
"97","OSUS A2295","M","Oklahoma","Osage","Northern",36.852203,-96.567352,87.9,88,87.95,31.5,31.5,31.5,20.9,21.1,21,45,44.5,44.75,39.9,39.4,39.65,24.7,25,24.85,18.1,18.1,18.1,6,6.1,6.05,6.5,6.6,6.55,12.8,13,12.9,3.1,3.1,3.1,18.9,18.5,18.7,6.8,6.9,6.85,37,"",NA,NA,NA,14.2873334884644,949.481994628906,929,129,33.3520011901855,-5.73600006103516,284,"Site_64","Site_34"
"98","OSUS A5391","M","Okahoma","Cherokee","Northern",35.797169,-95.196355,91.1,90.7,90.9,30.5,30.6,30.55,23.8,23.6,23.7,44.1,44.3,44.2,41.2,41.3,41.25,25,24.5,24.75,19.2,19,19.1,6.3,6.2,6.25,7.5,7.4,7.45,12.5,4.9,8.7,3.9,4,3.95,19.5,19.6,19.55,7.2,7,7.1,27,"",NA,NA,NA,15.623833656311,879.410827636719,1135,138,33.6040000915527,-3.2960000038147,315,"Site_48","Site_5"
"99","OSUS A5044","M","Oklahoma","Cherokee","Northern",35.778082,-95.269585,75.5,75.5,75.5,25.9,25.5,25.7,19.5,19.6,19.55,38.3,38,38.15,35.1,35,35.05,21.8,22,21.9,17.8,17.9,17.85,6,5.6,5.8,5.9,5.5,5.7,10.4,10.5,10.45,2.7,3.2,2.95,16.1,16.4,16.25,5.5,5.9,5.7,29,"",NA,NA,NA,15.8451662063599,895.399658203125,1123,138,34.0919990539551,-3.28399991989136,317,"Site_47","Site_5"
"100","OSUS A4377","M","Oklahoma","Muskogee","Intergrade",35.493179,-95.327886,67.2,67,67.1,21.8,21.3,21.55,18.6,18.4,18.5,29.5,29.6,29.55,27.5,27.2,27.35,17.5,17.2,17.35,12.5,12.6,12.55,3.7,3.5,3.6,3.7,3.9,3.8,9.8,9.4,9.6,2.1,1.9,2,14.9,14.5,14.7,5.8,5.5,5.65,30,"",NA,NA,NA,15.860333442688,882.515258789062,1122,140,33.9120025634766,-3.18400001525879,314,"Site_42","Site_30"
"101","UIMNH 13165","F","Kentucky ","McCracken","Northern",37.0477719,-88.6347622,92.5,92.7,92.6,35.8,35.2,35.5,28.3,27.9,28.1,41.9,41.7,41.8,36.2,37,36.6,23.7,23.5,23.6,16.8,16.9,16.85,6.5,6.5,6.5,7.2,7.1,7.15,13.5,13.5,13.5,4.2,4.1,4.15,19.6,20.2,19.9,7.3,7.4,7.35,52,"",NA,NA,NA,14.456166267395,909.649841308594,1266,125,32.431999206543,-3.94400000572205,288,"Site_66","Site_27"
"102","UIMNH 13166","M","Kentucky ","McCracken","Northern",37.0477719,-88.6347622,88.7,88.8,88.75,33.3,33.2,33.25,24,23.5,23.75,41.8,41.5,41.65,38.7,38.9,38.8,23.9,24,23.95,17.8,17.5,17.65,6.1,6.3,6.2,7,7,7,12.7,13,12.85,4.2,3.9,4.05,19.4,19.7,19.55,6.2,5.9,6.05,30,"",NA,NA,NA,14.456166267395,909.649841308594,1266,125,32.431999206543,-3.94400000572205,288,"Site_66","Site_27"
"103","UIMNH 13167","M","Kentucky ","McCracken","Northern",37.0477719,-88.6347622,79.3,79.5,79.4,27.4,27.2,27.3,21.3,21.2,21.25,36.5,36.4,36.45,32.4,32.6,32.5,20.1,20.4,20.25,16.1,16.3,16.2,5,5,5,5.6,5.5,5.55,10,10.2,10.1,2.9,3,2.95,16.3,16.1,16.2,5.5,5.4,5.45,36,"",NA,NA,NA,14.456166267395,909.649841308594,1266,125,32.431999206543,-3.94400000572205,288,"Site_66","Site_27"
"104","UIMNH 13168","M","Kentucky ","McCracken","Northern",37.0477719,-88.6347622,65.2,65.5,65.35,24,24,24,19.1,18.7,18.9,33.6,33.6,33.6,31,30.5,30.75,19,19.5,19.25,14.1,14.1,14.1,4.9,4.5,4.7,5.3,5.1,5.2,9,9.2,9.1,2.6,2.7,2.65,14.6,14.7,14.65,4.7,4.8,4.75,36,"",NA,NA,NA,14.456166267395,909.649841308594,1266,125,32.431999206543,-3.94400000572205,288,"Site_66","Site_27"
"105","INHS 27619","F","Illinois","Williamson","Northern",37.67631,-89.09911,72.1,72.1,72.1,28.5,28.1,28.3,22,22.4,22.2,37.2,37.3,37.25,35.5,35.7,35.6,21.5,21.3,21.4,15.4,15.3,15.35,5.8,5.4,5.6,6.2,6,6.1,11.3,11.3,11.3,2.9,3.1,3,17,16.5,16.75,6,6.1,6.05,28,"",NA,NA,NA,13.5148334503174,924.025817871094,1159,123,31.5839996337891,-4.91599988937378,279,"Site_68","Site_48"
"106","INHS 51284","M","Illinois","Williamson","Northern",37.7385,-89.1437,94.5,94.1,94.3,33,33.3,33.15,25.3,24.8,25.05,43.2,43.3,43.25,40,39.9,39.95,24.8,24.7,24.75,17.5,17.9,17.7,6.8,6.8,6.8,7.1,6.9,7,13.5,13.6,13.55,5.2,5.4,5.3,21.4,21.2,21.3,6.4,6.5,6.45,37,"",NA,NA,NA,13.5376663208008,934.936645507812,1148,122,31.7439994812012,-5.06799983978271,279,"Site_74","Site_48"
"107","INHS 29918","F","Illinois","Williamson","Northern",37.72187,-89.15207,86,86,86,33.3,33.3,33.3,24.2,24.5,24.35,42.2,42.2,42.2,39,38.8,38.9,24.6,24.2,24.4,18.9,18.5,18.7,6.5,6.5,6.5,6.9,7.1,7,12.9,13.1,13,3.5,3.8,3.65,19.6,19.2,19.4,7.5,7.5,7.5,31,"",NA,NA,NA,13.5376663208008,934.936645507812,1148,122,31.7439994812012,-5.06799983978271,279,"Site_70","Site_48"
